comprimento_pétala,largura_pétala,comprimento_sépala,largura_sépala,target
1.6127094055037017,0.27009926495341324,4.773480908158891,3.9360602231471953,0
4.540937069693161,1.3261481154572183,6.134928472816158,2.76809706484336,1
4.977000881746601,0.6517465319861855,6.612708174494015,2.9673719554629425,1
1.7467634736309567,0.21915063971068122,4.632230306306479,3.432961164402245,0
4.879484610246633,1.05044336360703,6.210501920816379,2.879633858434249,1
4.825695625652899,1.095122471733142,6.6067548180003195,3.1205135166296825,1
1.2275927773436368,0.3361636025047634,5.457129125806008,3.426383565199139,0
4.264034067105284,1.1036982697904099,5.69699130925015,3.645954737253467,1
1.7302304187458726,0.26907876241487855,5.069831125132736,3.6421498762735363,0
4.142348145370016,1.313960416998004,6.512059908526078,3.6569408799653016,1
5.571972044662663,1.7266066749312534,6.687559866708876,2.7722602015338906,1
1.9737638446522174,0.21607824767773615,5.754474360484212,4.059732353343427,0
1.3591576842195143,0.3331263431403564,5.103020156289106,3.1426089508392057,0
4.113587392731214,1.6264822607863272,6.540976485647482,3.067227744543125,1
1.3366851826424453,0.03802548959102553,5.234742837520108,3.583007239799006,0
1.3313137412277083,0.43562400285708225,5.120618936933445,3.6238342780809494,0
1.5514104843569911,0.3968644990532889,5.5228571017129715,3.756919638297042,0
4.031087480042439,1.2031531854267499,6.258663691654391,2.6992411906086575,1
1.5725886814698102,0.18936650259939716,5.02409208397641,3.847578673702221,0
1.4322671098540394,0.45380365664659694,4.636245018082104,3.2552569145103685,0
4.332749382079526,1.1614180809478691,6.316024968678819,2.8592473043685884,1
1.6030854868705384,0.3005113456642461,5.208776626246759,3.5174626155338,0
4.932877597085061,1.469920419404205,5.946528412314436,3.549437629756306,1
1.0763088895994126,0.23548802453948756,5.300773213074709,3.2738791506927534,0
4.262527344419522,1.4799199750866503,5.475957829251338,2.4860596412727367,1
1.3194880163311808,0.2780328112162488,4.379734627573547,3.6877002043295017,0
4.780392263184117,1.4835723894109552,5.9199094799015155,3.4426068650848656,1
1.1337469050086932,0.24982429564154635,5.619973762007016,3.7142001482276275,0
1.6627680130757894,0.3975545127122359,4.970221633693533,3.6969660825901487,0
5.044475298483683,1.3924206948526543,5.592905693606134,2.769795731133585,1
1.3198083930243585,0.3091760776535502,5.039860546035056,3.4206029500286133,0
4.785445255346583,1.1146139056843833,6.09115939838639,3.1558039542723515,1
4.756892975456104,1.1584661068762439,5.9042143055820855,2.9134024083239587,1
1.721539973998623,0.309707754934804,5.090983973841651,3.3660455143798935,0
